ID,acname,acqualifier,acvalue,Smiles,Source,dois,standardized,pIC50
137637354,IC50,=,9.9e-08,CN(C)C1CCC(CC1)NC2=NC=NC3=C2C(=CN3)C(F)(F)F,pubchem,10.1021/acs.jmedchem.7b01290,CN(C)C1CCC(Nc2ncnc3[nH]cc(C(F)(F)F)c23)CC1,7.0044
72945768,IC50,=,1e-07,CN(C)C1CCC(CC1)NC2=NC=NC3=C2C(=CN3)F,pubchem,10.1021/jm5016044,CN(C)C1CCC(Nc2ncnc3[nH]cc(F)c23)CC1,7.0
136984064,IC50,=,1e-07,CC1=CC(=CC(=N1)C)NC2=NC(=C(C(=O)N2)C3=NC4=CC=CC=C4S3)N[C@@H]5C[C@@H]([C@H]([C@H]5O)O)CO,pubchem,10.1021/acsmedchemlett.5b00279,Cc1cc(Nc2nc(=O)c(-c3nc4ccccc4s3)c(NC3CC(CO)C(O)C3O)[nH]2)cc(C)n1,7.0
57389895,IC50,=,1e-07,C1COCCN1C(=O)C2=CC=C(C=C2)N3C=C(N=N3)C4=NNC5=CC=CC=C54,pubchem,10.1021/jm5016044,O=C(c1ccc(-n2cc(-c3[nH]nc4ccccc34)nn2)cc1)N1CCOCC1,7.0
72709739,IC50,=,1e-07,CN(C)C1CCC(CC1)NC2=NC=NC3=C2C(=CN3)C#N,pubchem,10.1021/jm5016044,CN(C)C1CCC(Nc2ncnc3[nH]cc(C#N)c23)CC1,7.0
72945946,IC50,=,1e-07,CN(C)C1CCC(CC1)NC2=NC(=NC3=C2C=CN3)NC4=CC=CC=C4,pubchem,10.1021/jm5016044,CN(C)C1CCC(Nc2nc(Nc3ccccc3)nc3[nH]ccc23)CC1,7.0
117873033,IC50,=,1.01e-07,CN1C=C(C(=N1)C(=O)N)NC(=O)C2=CC=CC(=N2)C3=CC(=NC=C3)N,pubchem,10.1016/j.bmcl.2016.07.048,Cn1cc(NC(=O)c2cccc(-c3ccnc(N)c3)n2)c(C(N)=O)n1,6.9957
132266687,IC50,=,1.03e-07,C1CCN(C1)CCOC2=CC=C(C=C2)NC3=NC=C(C(=N3)N[C@@H]4[C@@H]5C[C@H]([C@@H]4C(=O)N)C=C5)C6=CN=CC=C6,pubchem,10.1021/acsmedchemlett.2c00056,NC(=O)C1C2C=CC(C2)C1Nc1nc(Nc2ccc(OCCN3CCCC3)cc2)ncc1-c1cccnc1,6.9872
118234033,IC50,=,1.04e-07,C1CCN(CC1)C2=NC3=C(C=C2NC(=O)C4=NC(=CC=C4)N5CC[C@@H](C5)N)OC(=N3)N6CCOCC6,pubchem,10.1021/acsmedchemlett.0c00255,NC1CCN(c2cccc(C(=O)Nc3cc4oc(N5CCOCC5)nc4nc3N3CCCCC3)n2)C1,6.983
73670346,IC50,=,1.04e-07,C1[C@@H]([C@H]([C@H]([C@@H]1NC2=NC(=NC=C2C3=NC4=CC=CC=C4C=C3)N)O)O)CO,pubchem,10.1016/j.bmcl.2015.03.043,Nc1ncc(-c2ccc3ccccc3n2)c(NC2CC(CO)C(O)C2O)n1,6.983
117873092,IC50,=,1.06e-07,CN1C=C(C(=N1)C(=O)N)NC(=O)C2=CC=CC(=N2)C3=CC(=CN=C3)Cl,pubchem,10.1016/j.bmcl.2016.07.048,Cn1cc(NC(=O)c2cccc(-c3cncc(Cl)c3)n2)c(C(N)=O)n1,6.9747
122181591,IC50,=,1.1e-07,CN1C=C(C(=N1)C(=O)N)NC(=O)C2=C3N=CC=CN3N=C2,pubchem,10.1021/acsmedchemlett.5b00107,Cn1cc(NC(=O)c2cnn3cccnc23)c(C(N)=O)n1,6.9586
